Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
Q5R4R7,1548,460,381,611,610,1088,621,356,89,764
Q5R4U9,919,574,501,266,328,1512,952,930,237,265
Q5R4X0,59,3,24,11,8,84,5,39,10,6
Q5R513,186,65,169,29,29,450,145,534,14,50
Q5R514,97,67,95,11,15,60,77,131,8,11
Q5R546,3918,2226,2526,965,1742,7964,4468,6512,1302,1912
Q5R573,388,119,187,102,94,1002,240,401,163,296
Q5R581,0,191,330,0,0,0,160,208,0,0
Q5R587,153,239,296,47,35,270,338,283,11,22
Q5R5D2,369,82,183,126,81,415,126,155,10,172
Q5R5D8,142,64,97,52,81,43,58,84,0,59
Q5R5H1,5194,3366,5041,950,3023,25918,5302,27385,3610,5667
Q5R5K4,983,122,414,285,528,1632,324,902,383,1169
Q5R5M0,767,394,407,413,327,971,485,535,79,525
Q5R5S1,348,89,177,91,52,303,90,144,7,55
Q5R5U1,2401,983,1091,1037,893,2421,1269,1710,314,1161
Q5R5U4,347,578,584,136,361,746,992,1122,99,585
Q5R5V4,0,0,0,0,0,0,0,0,0,0
Q5R5W0,3640,1552,1805,1819,2111,3355,2835,2184,1060,2458
Q5R5X0,2487,1329,1292,1434,996,1634,1475,1147,337,1124
